"doc_id","abstract"
"doc_001","Coburg Peak ( , ) is the rocky peak rising to 783 m in Erul Heights on Trinity Peninsula in Graham Land , Antarctica ."
"doc_002","Siniger Nunatak ( , ‘Nunatak Siniger’ \'nu-na-tak si-'ni-ger\ ) is the rocky hill rising to over 500 m in the upper course of Russell East Glacier on Trinity Peninsula in Graham Land , Antarctica ."
"doc_003","Harald Kaas ( 19 May 1868 – 5 December 1953 ) was a Norwegian architect ."
"doc_004","He studied at the Norwegian National Academy of Craft and Art Industry , then at Baugewerkschule in Eckernförde and finally at Polytechnicum in Munich ."
"doc_005","He was employed by the Norwegian State Railways from 1908 to 1914 , and designed stations on the Arendal Line , Bergen Line and Solør Line for the company ."
"doc_006","Utus Peak ( , ) is the rocky peak rising to 1217 m in Trakiya Heights on Trinity Peninsula in Graham Land , Antarctica ."
"doc_007","According to the 2007 study , Everest was India's largest spices brand based in Mumbai ."
"doc_008","Jallo Park ( sometimes called Jallo Wildlife Park ) , established in 1978 , is a public recreation and wildlife site located in Lahore District , Punjab , Pakistan ."
"doc_009","Paul L . Foster is an American businessman who is chairman of the board of Western Refining , a Fortune 200 and Global 2000 oil refiner and marketer based in El Paso , Texas ."
"doc_010","Júlia Hajdú ( 8 September 1915 – 23 October 1987 ) was a Hungarian composer and pianist ."
"doc_011","L'Oisans is a region in the French Alps , located in the départements of l'Isère and Hautes-Alpes , and corresponding to the drainage basin of the River Romanche and its tributaries ( Eau d'Olle , Lignarre , Sarenne , Vénéon and Ferrand ) ."
"doc_012","Between Livet-et-Gavet and Le Bourg-d'Oisans , the Romanche forms a deep gorge ."
"doc_013","The Voca People is an Israel-based ensemble performing vocal theater combining a cappella and beat box vocals to reproduce the sounds of an entire orchestra ."
"doc_014","It is known from the eastern half of North America from southern Canada ( including Ontario ) south to northern Florida , west to south-eastern British Columbia and Texas ."
"doc_015","Wilk Elektronik is a Polish manufacturer of computer memory under the brand name ""GOODRAM"" based in Łaziska Górne ."
"doc_016","Maibritt Kviesgaard ( born 15 May 1986 ) is a former Danish handball player ."
"doc_017","All fixtures are listed on FIFA . com with a 'Friendly' weight status which means that results will affect the participating nations' FIFA World Rankings ."
"doc_018","The 1977 Talladega 500 was a NASCAR Winston Cup Series race that took place on August 7 , 1977 , at Talladega Superspeedway in Talladega , Alabama ."
"doc_019","The 2011 National League Division Series ( abbreviated NLDS ) were two best-of-five playoffs comprising the opening round of the Major League Baseball postseason , played to determine the participating teams in the 2011 National League Championship Series ."
"doc_020","The Brewers and Diamondbacks also met for the first time , having both joined the National League in 1998—Arizona as an expansion team and Milwaukee in a move from the American League after the AL expanded by adding the Tampa Bay Rays ."
"doc_021","Austins Bridge is an American Christian country band originally formed in Austin , Texas ."
"doc_022","The 1906 USC Methodists football team was an American football team that represented the University of Southern California during the 1906 college football season ."
"doc_023","Eros Vlahos ( born 13 January 1995 ) is an English-Greek actor and comedian , probably best known for his roles as Cyril Gray in ""Nanny McPhee and the Big Bang"" , Jake Farley in ""Summer in Transylvania"" , and Lommy Greenhands in ""Game of Thrones"" ."
"doc_024","He also appeared in a recurring role on the television series ""Da Vinci's Demons"" , as Nico Machiavelli ."
"doc_025","Andrew Pierce ( born Patrick J Connolly 1961 ) is a journalist , editor , author , broadcaster and political commentator ."
"doc_026","The First Presbyterian Church in Jamaica is located in Jamaica , Queens , a neighborhood of New York City ."
"doc_027","David Jason Latour ( born 1977 ) is an American comic book artist and writer known for his work for Image , Dark Horse , Marvel and DC comics on titles such as ""Wolverine"" , ""Winter Soldier"" , ""Southern Bastards"" and ""Spider-Gwen"" ."
"doc_028","The KPN-Zendmast Waalhaven , also known as Communication Tower , is a self-supporting telecommunications tower located in Rotterdam in the Netherlands that was built in 1962 ."
"doc_029","The 2011 South Florida Bulls football team represented the University of South Florida ( USF ) in the 2011 NCAA Division I FBS football season ."
"doc_030","The Bulls played their home games at Raymond James Stadium in Tampa , Florida ."
"doc_031","The Times of Indonesia was a daily English-language newspaper in Indonesia , published from Jakarta ."
"doc_032","Acrocercops orthostacta is a moth of the family Gracillariidae , known from Bihar , India ."
